date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:51:56	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1710243878-ssl-df	https://blackbb.netlify.app/robots.txt		(from )
00:51:57	166698/166698	---MCZ	200	added ('OK')	text/html	etag:%22d879d4ea94b53440811728767657e498-ssl-df%22	https://blackbb.netlify.app/light/	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/index.html	(from )
00:51:57	942/942	---M--	200	added ('OK')	image/png	etag:%2217f5075a3dd61bdace6059e9235aa8b3-ssl%22	https://blackbb.netlify.app/light/assets/img/logo-32x32.png	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/assets/img/logo-32x32.png	(from https://blackbb.netlify.app/light/)
00:51:58	10039/10039	---M--	200	added ('OK')	image/png	etag:%22e26dbbb6afb126617b67a3fedb5f20b3-ssl%22	https://blackbb.netlify.app/light/assets/img/logo-192x192.png	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/assets/img/logo-192x192.png	(from https://blackbb.netlify.app/light/)
00:51:58	848/848	---M--	200	added ('OK')	text/css	etag:%2286b9f4218ed67d1a00e8c1ac21d516bf-ssl%22	https://blackbb.netlify.app/light/assets/css/plugins.css	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/assets/css/plugins.css	(from https://blackbb.netlify.app/light/)
00:51:59	184392/184392	---M-Z	200	added ('OK')	text/css	etag:%22461716acd2fa78e2fa1c98ec82040256-ssl-df%22	https://blackbb.netlify.app/light/assets/css/style.css	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/assets/css/style.css	(from https://blackbb.netlify.app/light/)
00:51:59	5368/5368	---M--	200	added ('OK')	image/png	etag:%22f83b2abf76b579edadaf916dc88f02a8-ssl%22	https://blackbb.netlify.app/light/assets/img/logo-light.png	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/assets/img/logo-light.png	(from https://blackbb.netlify.app/light/)
00:52:00	5442/5442	---M--	200	added ('OK')	image/png	etag:%22608a450bfbd4f9d15b062743cdf496d5-ssl%22	https://blackbb.netlify.app/light/assets/img/logo.png	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/assets/img/logo.png	(from https://blackbb.netlify.app/light/)
00:52:01	135207/135207	---MCZ	200	added ('OK')	text/html	etag:%22d1bffd63ad744fdea2e60a184c5ff15d-ssl-df%22	https://blackbb.netlify.app/light/business	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/business.html	(from https://blackbb.netlify.app/light/)
00:52:02	119834/119834	---MCZ	200	added ('OK')	text/html	etag:%2292d5a3143c7da7edb80c7d945f068560-ssl-df%22	https://blackbb.netlify.app/light/architecture	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/architecture.html	(from https://blackbb.netlify.app/light/)
00:52:02	127479/127479	---MCZ	200	added ('OK')	text/html	etag:%22bd2dc39a3b26ab427352d60d2ce1160b-ssl-df%22	https://blackbb.netlify.app/light/personal	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/personal.html	(from https://blackbb.netlify.app/light/)
00:52:03	131682/131682	---MCZ	200	added ('OK')	text/html	etag:%22ca044d3a4e2d90414e3f6ff00d8522c0-ssl-df%22	https://blackbb.netlify.app/light/photographer	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/photographer.html	(from https://blackbb.netlify.app/light/)
00:52:03	100960/100960	---MCZ	200	added ('OK')	text/html	etag:%223476cbc08b4f34bcc4837a74c97adc70-ssl-df%22	https://blackbb.netlify.app/light/resume	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/resume.html	(from https://blackbb.netlify.app/light/)
00:52:04	68949/68949	---MCZ	200	added ('OK')	text/html	etag:%22afe2ca918062a33362e485259ba5e8ff-ssl-df%22	https://blackbb.netlify.app/light/metro-portfolio-1	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/metro-portfolio-1.html	(from https://blackbb.netlify.app/light/)
00:52:05	68156/68156	---MCZ	200	added ('OK')	text/html	etag:%226602536dc81fc54c8f73a2c25f1756ad-ssl-df%22	https://blackbb.netlify.app/light/metro-portfolio-2	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/metro-portfolio-2.html	(from https://blackbb.netlify.app/light/)
00:52:05	64339/64339	---MCZ	200	added ('OK')	text/html	etag:%2298984a291a31d462297377b56ed07fdb-ssl-df%22	https://blackbb.netlify.app/light/carousel-portfolio-1	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/carousel-portfolio-1.html	(from https://blackbb.netlify.app/light/)
00:52:06	61291/61291	---MCZ	200	added ('OK')	text/html	etag:%225bdcd802b4bc6a9cff430d3698036b96-ssl-df%22	https://blackbb.netlify.app/light/carousel-portfolio-2	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/carousel-portfolio-2.html	(from https://blackbb.netlify.app/light/)
00:52:07	61242/61242	---MCZ	200	added ('OK')	text/html	etag:%22d23e6ef700b991b2e17bcc64654c91dd-ssl-df%22	https://blackbb.netlify.app/light/carousel-portfolio-3	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/carousel-portfolio-3.html	(from https://blackbb.netlify.app/light/)
00:52:09	55227/55227	---MCZ	200	added ('OK')	text/html	etag:%222bb9aa66bcb78a20dcf5016c72144614-ssl-df%22	https://blackbb.netlify.app/light/fullscreen-distortion-horizontal	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/fullscreen-distortion-horizontal.html	(from https://blackbb.netlify.app/light/)
00:52:10	55225/55225	---MCZ	200	added ('OK')	text/html	etag:%228f73826acf1112181debda9616504777-ssl-df%22	https://blackbb.netlify.app/light/fullscreen-distortion-vertical	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/fullscreen-distortion-vertical.html	(from https://blackbb.netlify.app/light/)
00:52:12	61589/61589	---MCZ	200	added ('OK')	text/html	etag:%22efcabe21ce819964f4a7811c8b40f3ea-ssl-df%22	https://blackbb.netlify.app/light/fullscreen-parallax-horizontal	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/fullscreen-parallax-horizontal.html	(from https://blackbb.netlify.app/light/)
00:52:13	61425/61425	---MCZ	200	added ('OK')	text/html	etag:%225566690d883f18d5b615acbf6891d2bb-ssl-df%22	https://blackbb.netlify.app/light/fullscreen-parallax-vertical	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/fullscreen-parallax-vertical.html	(from https://blackbb.netlify.app/light/)
00:52:15	62479/62479	---MCZ	200	added ('OK')	text/html	etag:%2268e5afdebad61567c54658d222020267-ssl-df%22	https://blackbb.netlify.app/light/padding-distortion-horizontal	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/padding-distortion-horizontal.html	(from https://blackbb.netlify.app/light/)
00:52:16	62314/62314	---MCZ	200	added ('OK')	text/html	etag:%2215b8b32fb7304d6d19b0e9b80609ded2-ssl-df%22	https://blackbb.netlify.app/light/padding-distortion-vertical	C:/My%20Web%20Sites/port2/blackbb.netlify.app/light/padding-distortion-vertical.html	(from https://blackbb.netlify.app/light/)
